region,Confirmed
alabama,79129
alaska,2623
american samoa,0
arizona,163827
arkansas,37948
california,458121
colorado,44547
connecticut,48741
delaware,14214
district of columbia,11780
florida,432246
georgia,153705
guam,349
hawaii,1688
idaho,18692
illinois,172578
indiana,62907
iowa,42694
kansas,25804
kentucky,27583
louisiana,109907
maine,3831
maryland,84876
massachusetts,115598
michigan,82761
minnesota,51623
mississippi,52781
missouri,43489
montana,3380
nebraska,24757
nevada,43831
new hampshire,6441
new jersey,179111
new mexico,18349
new york,412344
north carolina,114916
north dakota,5986
northern mariana islands,40
ohio,85177
oklahoma,32528
oregon,17088
pennsylvania,112995
puerto rico,14504
rhode island,16613
south carolina,82417
south dakota,8444
tennessee,90951
texas,400336
utah,38409
vermont,1395
virgin Islands,364
virginia,86072
washington,53148
west virginia,5999
wisconsin,49417
wyoming,2520
